Variant,Function,Runs,Population,MaxIter,Dimension,Optimum,Best,Average,STD_sample_ddof1,STD_population_ddof0,Median,Worst
SCHO_NFTF,F3,30,30,500,30,0.0,0.000539274830688305,0.2758184837393614,0.7773725026395877,0.7643064879995008,0.012222411837130751,3.3469854681378557
SCHO_NFTF,F4,30,30,500,30,0.0,0.0002358447320039285,0.0070483187340849235,0.015181083261049997,0.014925920831882857,0.0025645726198935057,0.08287521450871446
SCHO_NFTF,F5,30,30,500,30,0.0,26.471646413831472,28.02506389659168,0.7322975469357879,0.7199891485338975,28.019873420032837,28.848978563900616
SCHO_NFTF,F6,30,30,500,30,0.0,1.1390222712324358,2.494023579804056,0.6607860740586875,0.6496796347541072,2.480948471369727,4.050782649712752
SCHO_NFTF,F7,30,30,500,30,0.0,0.0014204707698064422,0.0077699595989360075,0.005528589770749187,0.005435665677552732,0.006458455037850497,0.02267871909501873
SCHO_NFTF,F8,30,30,500,30,-12569.487,-5490.488481249166,-4012.5366689948514,509.8252940101911,501.2561913820369,-3970.8200888061847,-3132.9711588540185
SCHO_NFTF,F9,30,30,500,30,0.0,1.3677947663381929e-13,1.9236479217616924,3.8109752844028386,3.7469207176540293,2.103435647882179e-09,14.012253360804703
SCHO_NFTF,F10,30,30,500,30,0.0,5.05989956600672e-08,4.026393509271031e-07,2.693542260732008e-07,2.648269418570862e-07,3.31938136088894e-07,1.0349265626707904e-06
SCHO_NFTF,F11,30,30,500,30,0.0,3.68594044175552e-14,0.019059620520163852,0.03479480908722534,0.034209980728376777,0.005342887293621312,0.14470676781276137
SCHO_NFTF,F12,30,30,500,30,0.0,0.09123291798928629,0.25012812684142605,0.13283734331586103,0.1306046239096281,0.2253294919165597,0.6857594817937903
SCHO_NFTF,F13,30,30,500,30,0.0,1.2558609325053978,1.7704999413992921,0.2541190741743949,0.24984786116877186,1.7903244937617258,2.1783240670290973
SCHO_NFTF,F14,30,30,500,2,1.0,0.9980038379615147,5.10516249176056,4.584669621822433,4.507610862739382,2.982105156835631,12.670505811135966
SCHO_NFTF,F15,30,30,500,4,0.0003,0.0003101093407002826,0.0005545787591681351,0.00014781123929285563,0.00014532683984469914,0.0005692874523134126,0.0008432958556705151
SCHO_NFTF,F16,30,30,500,2,-1.0316,-1.031628436900496,-1.031626463934001,2.790083331215518e-06,2.7431878344891234e-06,-1.0316275026927029,-1.0316148371993183
SCHO_NFTF,F17,30,30,500,2,0.397887,0.3978919897500788,0.3981099915064109,0.0002850141710484902,0.0002802236757339443,0.39802696240417124,0.3991140515765039
SCHO_NFTF,F18,30,30,500,2,3.0,3.0000001134312573,3.000011932737938,1.5763265342939045e-05,1.5498317644059726e-05,3.0000047386465516,3.0000565016206635
SCHO_NFTF,F19,30,30,500,3,-3.8628,-3.862756416194415,-3.859491455672783,0.003511120443439038,0.003452105812793745,-3.8609582019944524,-3.854551843361181
SCHO_NFTF,F20,30,30,500,6,-3.322,-3.3204705252859124,-3.1768619292488895,0.12444189744822015,0.12235028802239452,-3.130953456639177,-2.836531528235208
SCHO_NFTF,F21,30,30,500,4,-10.1532,-9.984268180027358,-6.515525040472598,2.8399682804227147,2.7922343214733214,-8.619039646025133,-2.4078866893938233
SCHO_NFTF,F22,30,30,500,4,-10.4028,-10.240834171491526,-7.04048877080452,2.712587041473753,2.6669940961662473,-8.125663625826942,-2.569049519302508
