Function,Dimension,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
F6,100,30,1029,8000630,30,500,-100.0,100.0,0.0,17.242037553780385,267957.1214686232,17.242037553780385,12.13205059999018,PASS
F6,100,27,1026,8000627,30,500,-100.0,100.0,0.0,1.4132797640443149,269274.83892360574,1.4132797640443149,12.239316300008795,PASS
F6,100,28,1027,8000628,30,500,-100.0,100.0,0.0,15.974394339796849,252458.60660492422,15.974394339796849,12.6132026000123,PASS
F6,100,29,1028,8000629,30,500,-100.0,100.0,0.0,0.5029542083220561,281218.8936025882,0.5029542083220561,12.681784800006426,PASS
F7,100,2,1001,8000702,30,500,-1.28,1.28,0.0,4.7744084379753716e-05,1879.8057835339578,4.7744084379753716e-05,9.401637600007234,PASS
F7,100,1,1000,8000701,30,500,-1.28,1.28,0.0,6.395785233204165e-06,1713.9860331157254,6.395785233204165e-06,9.472589800003334,PASS
F7,100,4,1003,8000704,30,500,-1.28,1.28,0.0,2.7601226714080163e-05,1839.910022568646,2.7601226714080163e-05,9.558718700005556,PASS
F7,100,3,1002,8000703,30,500,-1.28,1.28,0.0,0.00014671863087878378,1879.8120065592348,0.00014671863087878378,9.756989100002102,PASS
F7,100,6,1005,8000706,30,500,-1.28,1.28,0.0,3.9687652035436116e-05,2015.2272444346643,3.9687652035436116e-05,7.134040400007507,PASS
F7,100,5,1004,8000705,30,500,-1.28,1.28,0.0,3.041923620629201e-05,2011.9533786214163,3.041923620629201e-05,7.304222699996899,PASS
F7,100,7,1006,8000707,30,500,-1.28,1.28,0.0,0.00013850132260584402,1935.4675130684107,0.00013850132260584402,7.323462700005621,PASS
F7,100,8,1007,8000708,30,500,-1.28,1.28,0.0,3.5811180675304755e-05,1729.6567663584508,3.5811180675304755e-05,7.37329299999692,PASS
F7,100,10,1009,8000710,30,500,-1.28,1.28,0.0,8.793380889594063e-05,2069.7691495330755,8.793380889594063e-05,8.24502700001176,PASS
F7,100,11,1010,8000711,30,500,-1.28,1.28,0.0,2.6431049673925067e-05,1719.566674241023,2.6431049673925067e-05,8.33226619999914,PASS
F7,100,9,1008,8000709,30,500,-1.28,1.28,0.0,7.667485511575566e-05,1636.3817325443206,7.667485511575566e-05,8.574672000002465,PASS
F7,100,12,1011,8000712,30,500,-1.28,1.28,0.0,6.139053081521961e-05,1697.1049727114605,6.139053081521961e-05,8.603382699991926,PASS
F7,100,14,1013,8000714,30,500,-1.28,1.28,0.0,1.8115181587008422e-06,1919.9489992854924,1.8115181587008422e-06,7.3712240000022575,PASS
F7,100,16,1015,8000716,30,500,-1.28,1.28,0.0,0.00016118572114032226,1898.3701640908503,0.00016118572114032226,7.429515299998457,PASS
F7,100,13,1012,8000713,30,500,-1.28,1.28,0.0,4.342885650909789e-05,1966.692355879858,4.342885650909789e-05,7.469193099997938,PASS
F7,100,15,1014,8000715,30,500,-1.28,1.28,0.0,0.0003001291673419004,2136.354940671791,0.0003001291673419004,7.717646600009175,PASS
F7,100,17,1016,8000717,30,500,-1.28,1.28,0.0,5.61494029568399e-05,1721.1651627703966,5.61494029568399e-05,9.308065899997018,PASS
F7,100,18,1017,8000718,30,500,-1.28,1.28,0.0,0.0002173084752551402,1818.4972351864994,0.0002173084752551402,9.383001199996215,PASS
F7,100,19,1018,8000719,30,500,-1.28,1.28,0.0,4.116412819155091e-05,1605.5808171118645,4.116412819155091e-05,9.666701399997692,PASS
F7,100,20,1019,8000720,30,500,-1.28,1.28,0.0,4.3861990262517025e-05,1875.8564087292366,4.3861990262517025e-05,9.478955600003246,PASS
F7,100,24,1023,8000724,30,500,-1.28,1.28,0.0,2.861881175131309e-05,1858.9211425432188,2.861881175131309e-05,7.015167500008829,PASS
F7,100,22,1021,8000722,30,500,-1.28,1.28,0.0,5.6082913397981216e-05,2100.655221268006,5.6082913397981216e-05,7.055429000000004,PASS
F7,100,23,1022,8000723,30,500,-1.28,1.28,0.0,0.00021151824729748192,2129.101212080924,0.00021151824729748192,7.065782999998191,PASS
F7,100,21,1020,8000721,30,500,-1.28,1.28,0.0,2.3817639336343177e-06,1733.6064002918647,2.3817639336343177e-06,7.230588400008855,PASS
