Variant,Function,Run,OptimizerSeed,ObjectiveSeed,Population,MaxIter,Dimension,LowerBound,UpperBound,Optimum,BestScore,Curve0,CurveLast,ElapsedSeconds,Status
SCHO,F6,29,1028,4024629,30,500,30,-100,100,0.0,0.04069882332065303,66095.4100418736,0.04069882332065303,2.068960700009484,PASS
SCHO,F6,28,1027,4024628,30,500,30,-100,100,0.0,0.00016389198797782617,71067.99746945646,0.00016389198797782617,2.108298000006471,PASS
SCHO,F6,30,1029,4024630,30,500,30,-100,100,0.0,0.0333922067280193,77102.38991476683,0.0333922067280193,2.1585095999907935,PASS
SCHO,F7,1,1000,4024701,30,500,30,-1.28,1.28,0.0,9.45915362848826e-06,132.24256505296452,9.45915362848826e-06,2.053593100004946,PASS
SCHO,F7,3,1002,4024703,30,500,30,-1.28,1.28,0.0,1.6784381334677967e-05,106.8866083511403,1.6784381334677967e-05,2.007674799999222,PASS
SCHO,F7,2,1001,4024702,30,500,30,-1.28,1.28,0.0,6.837286203809079e-05,129.07738590868695,6.837286203809079e-05,2.0496007000037935,PASS
SCHO,F7,4,1003,4024704,30,500,30,-1.28,1.28,0.0,7.080694142436172e-05,120.0123686763614,7.080694142436172e-05,2.072155499990913,PASS
SCHO,F7,8,1007,4024708,30,500,30,-1.28,1.28,0.0,9.530159643600378e-05,89.84776718932376,9.530159643600378e-05,2.0471375999914017,PASS
SCHO,F7,5,1004,4024705,30,500,30,-1.28,1.28,0.0,0.0002432252979321925,128.77654886785405,0.0002432252979321925,2.1211941999936244,PASS
SCHO,F7,7,1006,4024707,30,500,30,-1.28,1.28,0.0,8.514306014872908e-05,109.43532753152996,8.514306014872908e-05,2.068069499990088,PASS
SCHO,F7,6,1005,4024706,30,500,30,-1.28,1.28,0.0,0.0002044215615785161,95.90377798740067,0.0002044215615785161,2.099028199998429,PASS
SCHO,F7,11,1010,4024711,30,500,30,-1.28,1.28,0.0,0.00021914311776938256,145.50908467686799,0.00021914311776938256,2.0592587999999523,PASS
SCHO,F7,9,1008,4024709,30,500,30,-1.28,1.28,0.0,1.5447923321199042e-05,112.92200132609992,1.5447923321199042e-05,2.106760900001973,PASS
SCHO,F7,12,1011,4024712,30,500,30,-1.28,1.28,0.0,0.00014672705711848977,88.02744560759177,0.00014672705711848977,2.0598033999995096,PASS
SCHO,F7,10,1009,4024710,30,500,30,-1.28,1.28,0.0,8.368433869609948e-05,124.61338032043707,8.368433869609948e-05,2.1173262000083923,PASS
SCHO,F7,14,1013,4024714,30,500,30,-1.28,1.28,0.0,2.820717814733256e-05,125.18640614897903,2.820717814733256e-05,2.0447599999897648,PASS
